GP_CODE,GP_NAME,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ICB_CODE,ICB_NAME,Model_Type,Validation_MAPE,Validation_RMSE,Avg_Monthly_Forecast
E85005,"THE SURGERY, DR DASGUPTA & PARTNERS",W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.033876933766752,141.01380450749062,1177.6039619615183
E85006,WATERSIDE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.270753820433551,251.64005105287845,2289.4954402536887
E85007,ST. MARGARETS PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,14.846535764194766,1429.4816101790072,8496.62905173467
E85008,NORTH FULHAM SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,9.7662405171945,412.0758131334706,4174.230938678139
E85012,KS MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.38204508472789,158.0450519640618,1945.6577286512902
E85013,WESTSEVEN GP,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.771279342803103,292.4164746851997,1854.5261553432472
E85014,NORTHFIELDS SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.18414508493879,354.9364130898133,5123.179406107809
E85015,HOUNSLOW MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,13.300221188868703,759.4514785643415,3532.8739330664444
E85016,RICHFORD GATE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.320152490177383,649.8296256115061,3985.328113964047
E85019,CROWN STREET SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,12.077867628373241,739.8708786400202,5831.6133611596115
E85020,BROOK GREEN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,3.378360280634405,218.32787693786403,5857.387048510085
E85021,YEADING MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,4.376056366117178,219.03551883270444,3269.571781778324
E85023,CHEPSTOW GARDENS MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.641687266113436,143.96270350333228,1633.5723601881427
E85024,CARLTON SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,22.520307646407726,520.3406869147934,1625.6935501674222
E85025,CASSIDY ROAD MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.599250373109358,380.7534352982367,4292.9120992057115
E85026,GORDON HOUSE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.566383860132758,675.3767608560078,6022.221782892205
E85028,HILLCREST SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.516304708037413,197.9450036633177,3130.111674361219
E85029,"THE MEDICAL CENTRE, DR JEFFERIES & PARTN",W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.520140284998925,244.63791597259458,4182.577672673466
E85030,CHISWICK HEALTH PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,15.458761307826418,415.535672365215,2080.3863465960976
E85032,ASHCHURCH SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.591519620659257,236.20978231169457,1427.1745343024938
E85033,HAMMERSMITH SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.6259651994957585,239.75468312363697,3379.1850708014977
E85034,GROSVENOR HOUSE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,10.108203683209684,219.03457785977494,2294.232371344078
E85035,MOUNT MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.166200789912678,189.7105375078466,2286.780947672382
E85038,PALACE SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.425882213375079,134.97907587672438,1839.9117324201397
E85040,WEST4 GPS,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,18.245806188540023,777.6851103530053,3090.900686755534
E85041,HANWELL HEALTH CENTRE (NAISH),W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,12.277077916358369,308.2759129414522,2113.4777808629924
