SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-05,163498.67116676457,75646.87825452612,144.08929191338308,139.44729033688645,283.53658225026953
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-06,160363.8242051594,74196.46043303056,141.32659130101058,136.7735932890934,278.100184590104
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-07,176331.09866667233,81584.13189621127,155.39834646897384,150.39201074676362,305.79035721573746
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-08,150876.68020689167,69806.98850705932,132.9656923943987,128.68205031719424,261.64774271159297
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-09,165369.13667651202,76512.29737802978,145.7377092914853,141.04260206108293,286.7803113525682
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-10,200349.95902875773,92697.07729605425,176.5658615162938,170.87759005191032,347.4434515682041
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-11,166306.50197657893,76945.99361683195,146.5637973653942,141.84207676150317,288.4058741268974
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-12,154146.84831069567,71320.01614609118,135.84764980207842,131.4711621660389,267.3188119681173
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2027-01,175445.5970191504,81174.4317142694,154.61796517003697,149.63677032520792,304.25473549524486
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-02,148095.32673951937,68520.12357031305,130.51452108631057,126.30984630032751,256.8243673866381
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-03,149118.6242130486,68993.57854609861,131.41634008780687,127.18261216976192,258.5989522575688
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-04,148878.56005119928,68882.50666829619,131.20477460627845,126.97786251254459,258.18263711882304
