SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Appointments
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-12,143413
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-01,165085
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-02,149782
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-03,157615
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-04,146946
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-05,141885
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-06,150268
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-07,160996
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-08,136067
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-09,155804
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-10,194157
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-11,143115
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2025-12,149555
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2026-01,160761
