GP_CODE,Best_Model,Best_MAPE,Seasonal_Naive,MA_3,MA_6,MA_12,ARIMA,SARIMA,HW_m12_add,HW_m6_add,HW_m12_mul,Simple_ES
E86640,Seasonal_Naive,4.9545488287975035,4.9545488287975035,11.856495770237133,10.853803717801908,11.58052494063339,12.129148695374624,9.08319212807,17.538952432971257,9.52288608252351,17.607598290580476,10.737428909772763
E87002,Seasonal_Naive,4.574081806524737,4.574081806524737,8.975733074021795,8.490116219985799,8.695476581145305,8.170214312742463,6.420564750645073,5.06631001381962,5.982956306809328,4.931502018374045,10.128653134523582
E87003,MA_6,8.780656615738941,13.072600203041377,9.55994593610901,8.780656615738941,10.976609269305703,12.354678752904434,11.090995076399546,15.080376014293408,11.546554521594562,14.558640205285018,9.800314391949533
E87004,HW_m12_mul,11.252571512606032,11.854175542718776,18.311308177370933,19.18625038253742,18.664903241488968,22.19612063035038,17.430794954705352,11.730029240286331,13.10362262243835,11.252571512606032,18.44327177229882
E87005,HW_m12_add,3.207858569181928,16.5558161051156,6.564876174252941,12.162814526387304,14.157301026696404,6.526555789811056,6.219198610699956,3.207858569181928,5.07078098053449,3.920331782060226,6.160204399419258
E87006,ARIMA,5.3139845662120235,15.050133542830608,8.074324166933588,10.645277440215484,11.962494240724112,5.3139845662120235,12.313313643539699,10.546251312219683,5.640917099069726,11.15673572684554,12.621421339173903
E87008,HW_m6_add,3.3030696032324105,5.089128152572872,5.736505023525075,5.773894274783525,5.850453217836546,5.639075826046977,3.425284374762768,5.548881143321772,3.3030696032324105,5.4847600760161095,5.573631400713984
E87009,Seasonal_Naive,8.04364506045992,8.04364506045992,11.02908086325974,10.013785678896403,9.210430711509082,10.276820203268972,9.397884244800924,14.876225292612274,12.382197541923091,14.810958846130609,9.001329756670675
E87010,Simple_ES,6.612988909514889,10.397842106754196,6.819071185245841,7.62210865396828,6.708854512726591,7.2898460703665835,8.337932609606753,8.430978355415816,9.16384813502687,8.534004046366936,6.612988909514889
E87011,Seasonal_Naive,9.865378697131911,9.865378697131911,13.407281472124497,11.427971983741312,10.447917644692204,12.247338518853503,12.022050073665982,17.32098129833483,14.845221347197246,17.830240752416273,10.91856131714324
E87013,HW_m12_add,5.418652600014458,9.028671129829863,14.385385996430564,14.036945122650375,13.146905934190112,13.735450125932905,9.861438378757061,5.418652600014458,8.24223167940642,5.637937719311506,14.100126218188706
E87016,SARIMA,5.288274328482615,8.037781697492804,7.411061764433073,6.4654948569781645,7.456162817584704,6.116217545058753,5.288274328482615,10.17555556733793,9.073429272029447,9.844897971334502,7.247279740741612
E87021,HW_m12_mul,9.583899300293176,10.89814743661043,10.081767193691597,10.843656450714013,11.915852330521211,12.99678500284974,11.244897364217708,9.682362545435803,9.772129060013746,9.583899300293176,12.476413276165161
E87024,Seasonal_Naive,4.140920705330116,4.140920705330116,5.969700334830428,7.9641223657110505,6.753723304493661,6.494199172498995,6.175023246545532,5.211915104383647,6.678833851130282,5.2763705808540475,5.989072156775108
E87026,SARIMA,4.68648979949882,4.911409836672523,8.492762924062092,13.175623757370444,8.053774135679138,8.96145626579355,4.68648979949882,22.308180391255565,11.048818628993635,8.984204007245076,8.103441201488131
E87029,Simple_ES,4.149601529158789,7.01899712429766,8.053350437681129,6.598964517858431,5.110642836665998,7.549402304382101,5.295050143117833,21.059869510927744,6.417750050701805,22.340648138879818,4.149601529158789
