GP_CODE,Month,Total_Appointments,Type
E83017,2023-09-01,6158.0,Historical
E83017,2023-10-01,6730.0,Historical
E83017,2023-11-01,4214.0,Historical
E83017,2023-12-01,4636.0,Historical
E83017,2024-01-01,5164.0,Historical
E83017,2024-02-01,4832.0,Historical
E83017,2024-03-01,4564.0,Historical
E83017,2024-04-01,4712.0,Historical
E83017,2024-05-01,4744.0,Historical
E83017,2024-06-01,4482.0,Historical
E83017,2024-07-01,7670.0,Historical
E83017,2024-08-01,7483.0,Historical
E83017,2024-09-01,7808.0,Historical
E83017,2024-10-01,9494.0,Historical
E83017,2024-11-01,8073.0,Historical
E83017,2024-12-01,7511.0,Historical
E83017,2025-01-01,7906.0,Historical
E83017,2025-02-01,7094.0,Historical
E83017,2025-03-01,7531.0,Historical
E83017,2025-04-01,7479.0,Historical
E83017,2025-05-01,7179.0,Historical
E83017,2025-06-01,7731.0,Historical
E83017,2025-07-01,8390.0,Historical
E83017,2025-08-01,7292.0,Historical
E83017,2025-09-01,8046.0,Historical
E83017,2025-10-01,9964.0,Historical
E83017,2025-11-01,8175.0,Historical
E83017,2025-12-01,8286.0,Historical
E83017,2026-01-01,6467.0,Historical
E83017,2026-02-01,6514.689555128799,Forecast
E83017,2026-03-01,6741.291271327137,Forecast
E83017,2026-04-01,6508.047450652955,Forecast
E83017,2026-05-01,6765.104084224646,Forecast
E83017,2026-06-01,7225.610449823503,Forecast
E83017,2026-07-01,8142.316064055506,Forecast
E83017,2026-08-01,7937.447958777784,Forecast
E83017,2026-09-01,8226.110807309838,Forecast
E83017,2026-10-01,9712.936618325059,Forecast
E83017,2026-11-01,8182.794679686288,Forecast
E83017,2026-12-01,7906.8251654055,Forecast
E83017,2027-01-01,7474.059051015428,Forecast
E83020,2022-10-01,3830.0,Historical
E83020,2022-11-01,3452.0,Historical
E83020,2022-12-01,2624.0,Historical
E83020,2023-01-01,3102.0,Historical
E83020,2023-02-01,2774.0,Historical
E83020,2023-03-01,3220.0,Historical
E83020,2023-04-01,2319.0,Historical
E83020,2023-05-01,2796.0,Historical
E83020,2023-06-01,3269.0,Historical
E83020,2023-07-01,3286.0,Historical
E83020,2023-08-01,2924.0,Historical
E83020,2023-09-01,3786.0,Historical
E83020,2023-10-01,3043.0,Historical
E83020,2023-11-01,2565.0,Historical
E83020,2023-12-01,2169.0,Historical
E83020,2024-01-01,2958.0,Historical
E83020,2024-02-01,2782.0,Historical
E83020,2024-03-01,2823.0,Historical
E83020,2024-04-01,2626.0,Historical
E83020,2024-05-01,2811.0,Historical
E83020,2024-06-01,2499.0,Historical
E83020,2024-07-01,2833.0,Historical
E83020,2024-08-01,2380.0,Historical
E83020,2024-09-01,2716.0,Historical
E83020,2024-10-01,3748.0,Historical
E83020,2024-11-01,3044.0,Historical
