GP_CODE,Month,Total_Appointments,Type,GP_Appointments,Staff_Appointments,GP_FTE_Required,Staff_FTE_Required,Total_FTE_Required
E87043,2026-07-01,2221.5501361149395,Forecast,1276.1153657102668,945.4347704046727,2.4306959346862227,1.5006901117534488,3.9313860464396715
E87043,2026-08-01,2148.6837920798566,Forecast,1234.2590691745002,914.4247229053566,2.3509696555704767,1.4514678141354866,3.8024374697059633
E87043,2026-09-01,2657.706871427104,Forecast,1526.6549789027201,1131.051892524384,2.907914245528991,1.795320464324419,4.70323470985341
E87043,2026-10-01,2987.9533136438345,Forecast,1716.3570038684593,1271.5963097753752,3.2692514359399225,2.018406840913294,5.287658276853216
E87043,2026-11-01,2715.313993749188,Forecast,1559.7459871921494,1155.5680065570384,2.970944737508856,1.834234931042918,4.805179668551774
E87043,2026-12-01,2442.5080047182078,Forecast,1403.0392314900091,1039.4687732281986,2.6724556790285887,1.6499504336955535,4.322406112724142
E87043,2027-01-01,2913.0599008112404,Forecast,1673.3363070349887,1239.7235937762516,3.1873072514952168,1.9678152282162724,5.155122479711489
E87045,2026-02-01,1472.211196980839,Forecast,775.7517662307268,696.4594307501122,1.4776224118680512,1.105491159920813,2.5831135717888642
E87045,2026-03-01,1547.6663267209196,Forecast,815.5113131538019,732.1550135671177,1.553354882197718,1.1621508151859012,2.715505697383619
E87045,2026-04-01,1322.2021195849188,Forecast,696.7075319665302,625.4945876183887,1.3270619656505336,0.9928485517752201,2.319910517425754
E87045,2026-05-01,1337.5903119227094,Forecast,704.8160271400623,632.7742847826471,1.3425067183620234,1.0044036266391223,2.3469103450011457
E87045,2026-06-01,1418.0054625738564,Forecast,747.1891562653323,670.8163063085242,1.4232174405053948,1.0647877877913083,2.488005228296703
E87045,2026-07-01,1431.350561966134,Forecast,754.2210851389302,677.1294768272037,1.4366115907408195,1.0748086933765137,2.5114202841173334
E87045,2026-08-01,1324.1671683599877,Forecast,697.7429744771667,626.424193882821,1.3290342370993653,0.994324117274319,2.3233583543736844
E87045,2026-09-01,1456.3282832618206,Forecast,767.3825876810142,688.9456955808064,1.461681119392408,1.0935645961600102,2.5552457155524184
E87045,2026-10-01,1604.494936868721,Forecast,845.4559941785096,759.0389426902113,1.6103923698638278,1.204823718555891,2.815216088419719
E87045,2026-11-01,1468.1053258079094,Forecast,773.5882608716805,694.5170649362288,1.4735014492793914,1.1024080395813156,2.575909488860707
E87045,2026-12-01,1358.7786881613506,Forecast,715.9808113261868,642.7978768351638,1.3637729739546414,1.0203140902145458,2.3840870641691874
E87045,2027-01-01,1574.701867059672,Forecast,829.7571416136042,744.9447254460678,1.5804897935497222,1.1824519451524884,2.7629417387022106
E87047,2026-02-01,3242.4318710286993,Forecast,1928.4411396250393,1313.99073140366,3.673221218333408,2.085699573656603,5.758920791990011
E87047,2026-03-01,3664.9854256031394,Forecast,2179.755489701921,1485.2299359012186,4.151915218479849,2.357507834763839,6.5094230532436885
E87047,2026-04-01,2993.943131451843,Forecast,1780.6520951071811,1213.2910363446617,3.3917182763946307,1.9258587878486695,5.3175770642433005
E87047,2026-05-01,3107.1429970506665,Forecast,1847.9778822027597,1259.1651148479068,3.5199578708623993,1.998674785472868,5.518632656335267
E87047,2026-06-01,2885.2003746425685,Forecast,1715.9771800408193,1169.2231946017491,3.268527961982513,1.8559098327011891,5.124437794683702
E87047,2026-07-01,2994.401829796546,Forecast,1780.92490662452,1213.4769231720259,3.392237917380038,1.926153846304803,5.318391763684841
E87047,2026-08-01,2859.0753035086195,Forecast,1700.4392554353738,1158.6360480732458,3.2389319151149976,1.8391048382115012,5.078036753326499
E87047,2026-09-01,3474.487823329317,Forecast,2066.456759663156,1408.0310636661611,3.9361081136441065,2.23496994232724,6.171078055971346
