ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000029,2026-07,495423.26024028787,943.6633528386435,1
E54000029,2026-08,428732.6446562427,816.6336088690337,1
E54000029,2026-09,483162.0430527491,920.3086534338079,1
E54000029,2026-10,547661.609095894,1043.1649697064647,1
E54000029,2026-11,482886.5162641433,919.78384050313,1
E54000029,2026-12,435123.576898197,828.8068131394228,1
E54000029,2027-01,500180.6199360148,952.724990354314,1
E54000030,2026-02,341410.0589101368,650.3048741145464,1
E54000030,2026-03,345327.9958556905,657.7676111536962,1
E54000030,2026-04,333458.96076742583,635.1599252712873,1
E54000030,2026-05,336004.19224230706,640.007985223442,1
E54000030,2026-06,329355.88284829626,627.3445387586595,1
E54000030,2026-07,348616.56244171585,664.0315475080301,1
E54000030,2026-08,316233.4989286767,602.3495217689081,1
E54000030,2026-09,351875.9565446876,670.2399172279764,1
E54000030,2026-10,407648.7608132904,776.4738301205532,1
E54000030,2026-11,354096.02399536007,674.4686171340192,1
E54000030,2026-12,319835.453698377,609.2103879969086,1
E54000030,2027-01,368332.7399089404,701.5861712551246,1
E54000031,2026-02,320959.2671139284,611.3509849789112,1
E54000031,2026-03,325603.75955848355,620.1976372542543,1
E54000031,2026-04,315158.5817089919,600.3020603980798,1
E54000031,2026-05,320956.93242152163,611.3465379457555,1
E54000031,2026-06,319164.90589305334,607.9331540820064,1
E54000031,2026-07,339200.43057197955,646.096058232342,1
E54000031,2026-08,296621.9105189014,564.9941152740979,1
E54000031,2026-09,328878.8481570548,626.435901251533,1
E54000031,2026-10,378000.1104097766,720.0002103043364,1
E54000031,2026-11,331564.85009554646,631.5520954200884,1
E54000031,2026-12,296442.3856630564,564.6521631677265,1
E54000031,2027-01,346382.8147445471,659.7767899896136,1
E54000032,2026-02,383381.1398991064,730.2497902840122,1
E54000032,2026-03,386998.08837526327,737.1392159528824,1
E54000032,2026-04,376625.52095834765,717.381944682567,1
E54000032,2026-05,371365.8627958913,707.3635481826501,1
E54000032,2026-06,367169.20283997175,699.3699101713747,1
E54000032,2026-07,393359.9988087713,749.2571405881358,1
E54000032,2026-08,345495.8691612404,658.0873698309341,1
E54000032,2026-09,390917.9747982861,744.6056662824498,1
E54000032,2026-10,464979.7653367361,885.675743498545,1
E54000032,2026-11,389825.40751646494,742.5245857456475,1
E54000032,2026-12,349732.63866755296,666.1574069858152,1
E54000032,2027-01,407361.38318357395,775.9264441591885,1
E54000034,2026-02,166905.69624245708,317.9156118903944,1
E54000034,2026-03,160578.12265162473,305.86309076499947,1
E54000034,2026-04,161845.5363413069,308.2772120786798,1
E54000034,2026-05,161249.05992395472,307.1410665218185,1
E54000034,2026-06,150307.90335198105,286.30076828948773,1
E54000034,2026-07,167809.77593803042,319.63766845339126,1
E54000034,2026-08,146316.15826262347,278.697444309759,1
E54000034,2026-09,160292.52979289996,305.3191043674285,1
E54000034,2026-10,201993.6804988697,384.7498676168947,1
E54000034,2026-11,166292.24926872895,316.7471414642456,1
E54000034,2026-12,149800.94282136878,285.33512918355956,1
E54000034,2027-01,174397.6855588637,332.186067731169,1
E54000036,2026-02,154589.26738292535,294.45574739604825,1
E54000036,2026-03,157397.13052827836,299.80405814910165,1
E54000036,2026-04,156365.91762675403,297.8398430985791,1
E54000036,2026-05,155256.66998813613,295.72699045359263,1
E54000036,2026-06,150913.0690378215,287.4534648339457,1
E54000036,2026-07,164780.15279546604,313.8669577056496,1
E54000036,2026-08,143425.94140544644,273.1922693437075,1
E54000036,2026-09,158010.89750018436,300.97313809558926,1
E54000036,2026-10,195651.90337842074,372.67029214937287,1
E54000036,2026-11,163041.0231430255,310.554329796239,1
E54000036,2026-12,144462.7203485072,275.16708637810893,1
E54000036,2027-01,170759.68670089872,325.25654609694993,1
E54000037,2026-02,342805.74464671966,652.9633231366089,1
E54000037,2026-03,344526.70648111653,656.2413456783172,1
E54000037,2026-04,337751.56670346693,643.3363175304132,1
E54000037,2026-05,333116.7096336736,634.5080183498545,1
E54000037,2026-06,325086.13987844414,619.2116950065603,1
E54000037,2026-07,355679.1912336274,677.4841737783379,1
E54000037,2026-08,310703.0555358675,591.8153438778429,1
E54000037,2026-09,345389.08452506876,657.8839705239404,1
E54000037,2026-10,428369.0143659025,815.9409797445762,1
E54000037,2026-11,352797.19868210686,671.994664156394,1
E54000037,2026-12,314772.785281185,599.5672100594,1
E54000037,2027-01,373860.14665065956,712.1145650488753,1
E54000038,2026-02,130211.44973123331,248.02180901187296,1
E54000038,2026-03,132690.35467074232,252.74353270617584,1
